"sampleId","mean","sd","n","mu0"
"Sample 1449",2.47657303273096,2.82758251584592,82,3
"Sample 145",2.86191733418506,2.34283749869194,82,3
"Sample 1450",2.94577025575731,2.46052872783886,82,3
"Sample 1451",3.14991290150435,2.8119310836807,82,3
"Sample 1452",2.6089668650043,2.65039306396543,82,3
"Sample 1453",3.02931154083205,2.25521754137831,82,3
"Sample 1454",3.33684694336067,2.3374844859416,82,3
"Sample 1455",3.3367159455787,2.44115051845243,82,3
"Sample 1456",2.79763915776928,2.67791015340495,82,3
"Sample 1457",2.81776793070501,2.27527701735904,82,3
"Sample 1458",2.88476784324041,2.33656155136006,82,3
"Sample 1459",3.19135878114641,2.58793077080442,82,3
"Sample 146",3.27461677502455,2.31198011293893,82,3
"Sample 1460",3.09560955302253,2.6900235512232,82,3
"Sample 1461",2.83447199396868,2.37254252941397,82,3
"Sample 1462",2.69024053621792,2.26520837942285,82,3
"Sample 1463",3.19371573367732,2.50612984892036,82,3
"Sample 1464",3.05523176547315,2.4933953212697,82,3
"Sample 1465",3.14564336985546,3.10157488082764,82,3
"Sample 1466",3.56972633376047,2.43889283724191,82,3
"Sample 1467",3.0151265524477,2.58045426887647,82,3
"Sample 1468",2.7211749338729,2.49739891315064,82,3
"Sample 1469",2.83438737821956,2.54249348974487,82,3
"Sample 147",2.69032893418512,2.37167379838602,82,3
"Sample 1470",2.98276871802609,2.21655047597897,82,3
"Sample 1471",2.90393913748591,2.48790634631171,82,3
"Sample 1472",2.74036416800283,2.74235900987156,82,3
"Sample 1473",3.14171015635367,2.36698708256846,82,3
"Sample 1474",3.39223217622493,2.97277279026563,82,3
"Sample 1475",2.72117442099663,2.42968009151612,82,3
"Sample 1476",3.38064164048485,2.71676344701024,82,3
"Sample 1477",3.04004379353784,2.46760483825862,82,3
"Sample 1478",3.47717475230258,2.67338825312455,82,3
"Sample 1479",2.98879753125023,2.42076159367027,82,3
"Sample 148",2.98986753185933,2.2238759630798,82,3
"Sample 1480",3.02200373442839,2.66459002998731,82,3
"Sample 1481",2.62834889540925,2.66668564506402,82,3
"Sample 1482",3.19788887624199,2.62390097923284,82,3
"Sample 1483",2.47133894895059,2.34253058133747,82,3
"Sample 1484",3.10786376789537,2.36192366580722,82,3
"Sample 1485",3.29402020232614,2.34851684452528,82,3
"Sample 1486",3.05318439295376,2.39840413514169,82,3
"Sample 1487",2.51572176163557,2.1456003719843,82,3
"Sample 1488",2.93455734595122,2.77095431379246,82,3
"Sample 1489",3.26467107531311,2.49430127033722,82,3
"Sample 149",3.1748197301142,2.20611163717054,82,3
"Sample 1490",2.97266055405862,2.5107372195583,82,3
"Sample 1491",3.10441836021453,2.3440881532758,82,3
"Sample 1492",3.36249850793827,2.1303637247121,82,3
"Sample 1493",3.24300673063841,2.35809530234844,82,3
"Sample 1494",3.18976437599871,2.4963213786767,82,3
"Sample 1495",3.18033008029457,2.27841882462332,82,3
"Sample 1496",2.81563257705597,2.45083327415578,82,3
"Sample 1497",3.71931248981213,2.43861282532129,82,3
"Sample 1498",2.60876889267509,2.73984077675384,82,3
"Sample 1499",3.2790281288053,2.59584486084574,82,3
"Sample 15",3.05878865735884,2.73580774502343,82,3
"Sample 150",3.25957235892564,2.26288066745013,82,3
"Sample 1500",2.9661024722833,2.67409433875607,82,3
"Sample 1501",3.15929565047175,2.43128604922735,82,3
"Sample 1502",3.12955939795102,2.55248364750309,82,3
"Sample 1503",2.78823935961955,2.75035828163689,82,3
"Sample 1504",2.67039213894646,2.70627645118523,82,3
"Sample 1505",2.81066619339951,2.46126244059051,82,3
"Sample 1506",2.81168554275379,2.35950608030449,82,3
"Sample 1507",3.19993962943055,2.05950541354889,82,3
"Sample 1508",3.06741900977759,2.1606049169279,82,3
"Sample 1509",3.34821960183799,2.43419063847124,82,3
"Sample 151",2.89735510657132,2.53602372608755,82,3
"Sample 1510",3.17421742649465,2.47058449581607,82,3
"Sample 1511",3.19839848819309,2.71545539439258,82,3
"Sample 1512",2.67404872804915,2.37178778236461,82,3
"Sample 1513",2.87838509561826,2.25875608981756,82,3
"Sample 1514",3.07429738626989,2.3755185606254,82,3
"Sample 1515",2.75366718291829,2.40938171053498,82,3
"Sample 1516",3.11068719012545,2.34152996354375,82,3
"Sample 1517",2.6420457906236,2.3310041304106,82,3
"Sample 1518",3.43411374225052,2.63118694734165,82,3
"Sample 1519",2.56657878289774,2.33187683430535,82,3
"Sample 152",2.94442703923462,2.36326630924985,82,3
"Sample 1520",3.22199551034968,2.30930223766002,82,3
"Sample 1521",2.88055925147035,2.2005163393542,82,3
"Sample 1522",2.93781623752826,2.36415655512223,82,3
"Sample 1523",3.27511439039458,2.37477045875277,82,3
"Sample 1524",3.07007553936089,2.38805767081327,82,3
"Sample 1525",3.2523457521164,2.24904844396326,82,3
"Sample 1526",3.10354663253094,2.63556172334384,82,3
"Sample 1527",2.84152894084571,2.49509756245985,82,3
"Sample 1528",3.55431758811181,2.34241576915709,82,3
"Sample 1529",2.75123241352902,2.20470649378102,82,3
"Sample 153",2.85088520326731,2.33848125830675,82,3
"Sample 1530",3.09945162200845,2.65006933655328,82,3
"Sample 1531",2.77369201050559,2.49165407955591,82,3
"Sample 1532",3.13183934951217,2.58472413966397,82,3
"Sample 1533",3.26080921332568,2.39100735799729,82,3
"Sample 1534",3.04477632504866,2.73695137007434,82,3
"Sample 1535",3.19738145595848,2.56650614321839,82,3
"Sample 1536",2.8914338369223,2.33538833837914,82,3
"Sample 1537",2.85026397506013,2.03472589812305,82,3
"Sample 1538",3.35728900015106,1.90211618826201,82,3
"Sample 1539",2.2790225722097,2.69864108101672,82,3
"Sample 154",2.94335044602199,2.4522310705598,82,3
"Sample 1540",3.29689590037506,2.55185865324808,82,3
"Sample 1541",2.64145014643685,2.48573388172416,82,3
"Sample 1542",2.89147864324501,2.44807532438729,82,3
"Sample 1543",2.87297699850199,2.32861825193751,82,3
"Sample 1544",3.2951254265689,2.35233566041585,82,3
"Sample 1545",2.81522845035193,2.49218092874841,82,3
"Sample 1546",3.11020468040777,2.28931732762867,82,3
"Sample 1547",3.08460380514466,2.58623673424227,82,3
"Sample 1548",2.6906995764458,2.8740280609529,82,3
"Sample 1549",2.70129582943701,2.14279221164817,82,3
"Sample 155",2.66369680340372,2.30673385134681,82,3
"Sample 1550",2.36951322699213,2.4938955689808,82,3
"Sample 1551",3.50489743198944,2.37030559939893,82,3
"Sample 1552",2.58924888044353,2.46515998162274,82,3
"Sample 1553",2.95918134452271,2.51637691199901,82,3
"Sample 1554",3.50485780423433,2.70959588261832,82,3
"Sample 1555",2.79345017955915,2.34586289855054,82,3
"Sample 1556",3.30855789780685,2.27196166950184,82,3
"Sample 1557",3.70681796043276,2.41938875766769,82,3
"Sample 1558",2.87249210639765,2.41283832093772,82,3
"Sample 1559",2.93574935639197,2.25678817789839,82,3
"Sample 156",3.49785600447614,2.72603364396772,82,3
"Sample 1560",2.70066678465373,2.62830686851696,82,3
"Sample 1561",3.38577833379742,2.4879825611297,82,3
"Sample 1562",2.89983995267828,2.61185022761309,82,3
"Sample 1563",3.08242489252455,2.55371036407567,82,3
"Sample 1564",2.99812947208854,2.60765616314952,82,3
"Sample 1565",3.04207281927247,2.38901988170171,82,3
"Sample 1566",2.96674699054405,2.47223956798807,82,3
"Sample 1567",3.00457761697431,2.51879622716597,82,3
"Sample 1568",2.50304554572273,2.58314053309689,82,3
"Sample 1569",3.01403642060146,2.48633342197299,82,3
"Sample 157",3.2736055958226,2.49423243315216,82,3
"Sample 1570",3.17717581243168,2.30211692521909,82,3
"Sample 1571",2.58967880278898,2.85269350708804,82,3
"Sample 1572",2.84465831799337,2.28608430092623,82,3
"Sample 1573",2.91770183106701,2.56822598036584,82,3
"Sample 1574",3.00937266359275,2.42878693349876,82,3
"Sample 1575",3.05699167872049,2.75671436508161,82,3
"Sample 1576",2.97711099354808,2.67641963727238,82,3
"Sample 1577",3.17343130965764,2.68496203504826,82,3
"Sample 1578",3.16102900741848,2.34977557014274,82,3
"Sample 1579",3.24738208195067,2.34162170305182,82,3
"Sample 158",2.91368525408385,2.58582542660971,82,3
"Sample 1580",3.05437064743417,2.43391166548943,82,3
"Sample 1581",3.35982565646387,2.51985744775975,82,3
"Sample 1582",3.04492374211474,2.69344771187433,82,3
"Sample 1583",2.71629587647941,2.80506045369149,82,3
"Sample 1584",2.92973389380325,2.36139896811909,82,3
"Sample 1585",3.07059238001787,2.50700208542337,82,3
"Sample 1586",2.50697308965531,2.77682234342698,82,3
"Sample 1587",2.84151781029715,2.42398044955627,82,3
"Sample 1588",2.61997986246219,2.41582801610364,82,3
"Sample 1589",3.33194275703794,2.49074368205045,82,3
"Sample 159",2.76366824739655,2.46443178488425,82,3
"Sample 1590",3.2218390145689,2.29508242916887,82,3
"Sample 1591",3.12294892445457,2.49678980542088,82,3
"Sample 1592",3.04882282488743,2.18137812956177,82,3
"Sample 1593",3.15146341357685,1.94431650504781,82,3
"Sample 1594",3.02541503495643,2.65579292067183,82,3
"Sample 1595",2.78782215317112,2.74001131417615,82,3
"Sample 1596",2.8153529543257,2.45791285999222,82,3
"Sample 1597",3.05078857097321,2.53466331193738,82,3
"Sample 1598",3.05929608027047,2.42706498391063,82,3
"Sample 1599",2.67304991388488,2.41744427086812,82,3
"Sample 16",2.30583794931437,2.38225108704566,82,3
"Sample 160",2.81361500567242,2.54497667997379,82,3
"Sample 1600",2.99028945610558,2.4587933673799,82,3
"Sample 1601",2.76131380413548,2.30795825845489,82,3
"Sample 1602",2.77305401418006,2.48135130324883,82,3
"Sample 1603",2.92037045791096,2.63107287577596,82,3
"Sample 1604",3.08649964666377,2.36629425704413,82,3
"Sample 1605",2.65432812307461,2.78907108708172,82,3
"Sample 1606",2.80748415301985,2.44422341563488,82,3
"Sample 1607",2.84670007010916,2.82371089983647,82,3
"Sample 1608",3.2489232753208,2.74313213443511,82,3
"Sample 1609",3.10710643344875,2.55043921184436,82,3
"Sample 161",3.51308736383708,2.18286899232291,82,3
"Sample 1610",2.80011617514888,2.51589168192415,82,3
"Sample 1611",2.91685442514409,2.37059419177749,82,3
"Sample 1612",2.88424721320041,2.85062998177708,82,3
"Sample 1613",2.84520998760556,2.65749962075019,82,3
"Sample 1614",3.25915608142507,2.48772239697315,82,3
"Sample 1615",3.12351643144027,2.61073806626612,82,3
"Sample 1616",3.49390877627615,2.41359783213482,82,3
"Sample 1617",2.6500331789485,2.54349685336679,82,3
"Sample 1618",3.27265386294795,2.52966571755846,82,3
"Sample 1619",2.70395093582421,2.37854766755583,82,3
"Sample 162",2.9505111783112,2.71748254124866,82,3
"Sample 1620",3.39499074915828,2.44710451465288,82,3
"Sample 1621",3.2433216199888,2.37246561667814,82,3
"Sample 1622",3.53883263853159,2.69256586740822,82,3
"Sample 1623",3.14550407541796,2.4174089394003,82,3
"Sample 1624",2.9034183896866,2.69280515862839,82,3
"Sample 1625",2.52568018091342,2.54905716784129,82,3
"Sample 1626",3.51488172471912,2.36161222203714,82,3
"Sample 1627",2.75786511112355,2.53834577716424,82,3
"Sample 1628",3.17560848806293,2.37679363604835,82,3
"Sample 1629",3.10642293566608,2.54746091636022,82,3
"Sample 163",2.87989243590851,2.51721735241633,82,3
"Sample 1630",2.76804296399016,2.8065962996946,82,3
"Sample 1631",2.92991195098959,2.6360116836066,82,3
"Sample 1632",2.70799939657215,2.76363413295338,82,3
"Sample 1633",2.97114413043063,2.50916036254349,82,3
"Sample 1634",3.13064041340772,2.56867687078908,82,3
"Sample 1635",2.3764684871085,2.26085957922375,82,3
"Sample 1636",3.01848451176715,2.81306715240018,82,3
"Sample 1637",2.91804929358121,2.37767774072622,82,3
"Sample 1638",3.6096801690973,2.6367792743626,82,3
"Sample 1639",3.05727613873339,2.42347208797538,82,3
"Sample 164",2.81422971232097,2.66104594125384,82,3
"Sample 1640",3.14089904822071,2.63996927025793,82,3
"Sample 1641",2.62618808310206,2.31979864268708,82,3
"Sample 1642",3.24105389778348,2.34830192774508,82,3
"Sample 1643",2.35163043601039,2.23801231257511,82,3
"Sample 1644",2.85910645916015,3.12187912041442,82,3
"Sample 1645",2.82849562225961,2.78798526133006,82,3
"Sample 1646",2.45073532291602,2.69695853179394,82,3
"Sample 1647",2.82411419654913,2.64874362236658,82,3
"Sample 1648",2.76994026087995,2.21714556587526,82,3
"Sample 1649",2.69727039314137,2.11878988552739,82,3
"Sample 165",2.3878406681231,2.58633406972618,82,3
"Sample 1650",3.16367780284267,2.3462457152109,82,3
"Sample 1651",3.33697550389906,2.15367860687863,82,3
"Sample 1652",2.8399083004301,2.56239168703363,82,3
"Sample 1653",2.70318835323248,2.81666123759428,82,3
"Sample 1654",3.42841911147098,2.383886871287,82,3
"Sample 1655",3.18479768054,2.39196855569052,82,3
"Sample 1656",2.96812709987743,2.46523129520575,82,3
"Sample 1657",2.70655200994618,2.52700347933429,82,3
"Sample 1658",2.91453709083385,2.63644159709777,82,3
"Sample 1659",2.83438320877723,2.19269450432519,82,3
"Sample 166",3.38182812760158,2.55175294588743,82,3
"Sample 1660",3.53827196813051,2.67451697004933,82,3
"Sample 1661",3.08015962697928,2.59707291368615,82,3
"Sample 1662",2.67464160072262,2.60567665171441,82,3
"Sample 1663",2.69063788657176,2.48772041498869,82,3
"Sample 1664",3.10306838273995,2.65941247446468,82,3
"Sample 1665",3.18544067499117,2.41421410630003,82,3
"Sample 1666",2.99205102164639,2.57429964784879,82,3
"Sample 1667",3.16316423448627,2.47532766429854,82,3
"Sample 1668",2.70953348017082,2.35055216840633,82,3
"Sample 1669",3.16231270459406,2.40467502691695,82,3
"Sample 167",2.98198720227726,2.76704402240948,82,3
"Sample 1670",3.15440215906274,2.64640008804611,82,3
"Sample 1671",2.35091019790341,2.44829940881221,82,3
"Sample 1672",3.19843731719284,1.98357188674129,82,3
"Sample 1673",3.18760335739874,2.053230481762,82,3
"Sample 1674",3.35371945959254,2.73082965770174,82,3
"Sample 1675",2.82201735780136,2.23418364362,82,3
"Sample 1676",3.19803770612712,2.66677001503886,82,3
"Sample 1677",2.41988069802648,2.30924653735429,82,3
"Sample 1678",3.14732694908436,2.63853034442741,82,3
"Sample 1679",3.41110231002237,2.18806866174167,82,3
"Sample 168",2.8856922031951,2.4395446820131,82,3
"Sample 1680",3.25205432482845,2.77612798273483,82,3
"Sample 1681",3.20531258309752,2.35861543078433,82,3
"Sample 1682",3.20190146238315,2.25909630252824,82,3
"Sample 1683",3.19600360889003,2.76792596181091,82,3
"Sample 1684",2.76312290873821,2.35283555398681,82,3
"Sample 1685",3.21429986047068,2.56933315254842,82,3
"Sample 1686",3.05836361657336,2.34840881644679,82,3
"Sample 1687",2.90995851451205,2.61635352077373,82,3
"Sample 1688",2.73547677963723,2.71829425179854,82,3
"Sample 1689",3.19102040443281,2.44211701551915,82,3
"Sample 169",2.91726395082635,2.45351987154373,82,3
"Sample 1690",2.96394427703387,2.54831545936029,82,3
"Sample 1691",3.19137623566789,2.8062098394139,82,3
"Sample 1692",2.86193257050133,2.47891003177655,82,3
"Sample 1693",3.13636993063683,2.56636036175118,82,3
"Sample 1694",2.79141340686986,2.50913744902702,82,3
"Sample 1695",3.09041988092489,2.35874414340523,82,3
"Sample 1696",2.89583849211409,2.45050724836054,82,3
"Sample 1697",3.33752715485129,2.39283091073127,82,3
"Sample 1698",3.05145793779976,2.29147782126193,82,3
"Sample 1699",2.99184583432393,2.77673374972132,82,3
"Sample 17",2.82015237928288,2.45175582863929,82,3
"Sample 170",2.74494254361266,2.27153099919582,82,3
"Sample 1700",2.75400792433759,2.6110565461268,82,3
"Sample 1701",2.96669029089104,2.55175826425687,82,3
"Sample 1702",3.24663649714163,2.72801313905576,82,3
"Sample 1703",3.03123789169311,2.76669024639698,82,3
"Sample 1704",2.60538706803116,2.77596590715289,82,3
"Sample 1705",2.70964314145304,2.30114276990223,82,3
"Sample 1706",2.54603483245308,2.25182803772813,82,3
"Sample 1707",2.84691467066095,2.31828042960266,82,3
"Sample 1708",2.52483813069158,2.52519176229094,82,3
"Sample 1709",2.47290477371611,2.4686307835305,82,3
"Sample 171",3.40491528285091,2.36243351852353,82,3
"Sample 1710",3.17990190906791,2.51693600521221,82,3
"Sample 1711",2.81840382807471,2.3695401841126,82,3
"Sample 1712",2.68353241914513,2.4102361716826,82,3
"Sample 1713",3.50925566192571,2.68991963146036,82,3
"Sample 1714",2.83970650395747,2.3742654689639,82,3
"Sample 1715",3.39501874385902,2.49757394330497,82,3
"Sample 1716",2.85547222011995,2.39001334748442,82,3
"Sample 1717",3.13010374437332,2.57115549877873,82,3
"Sample 1718",3.05685569855479,2.58680597434183,82,3
"Sample 1719",3.18070773470335,2.33901028097402,82,3
"Sample 172",3.17198314562611,2.14066562563612,82,3
"Sample 1720",3.0690251384485,2.33828104611496,82,3
"Sample 1721",2.7512777703527,2.13278435188245,82,3
"Sample 1722",3.16883977336155,2.45966300474668,82,3
"Sample 1723",2.86416547498951,2.5507050895547,82,3
"Sample 1724",2.90676174670525,2.5432355824703,82,3
"Sample 1725",3.17084181563157,3.03141575430369,82,3
"Sample 1726",2.58458160168601,2.50594200599476,82,3
"Sample 1727",3.01428837884761,2.63127698954933,82,3
"Sample 1728",3.2978956892924,2.49591893893246,82,3
"Sample 1729",2.65303625852179,2.33976332461242,82,3
"Sample 173",2.67722836891834,2.2999190170817,82,3
"Sample 1730",2.3555934075798,2.35104055620038,82,3
"Sample 1731",2.83289409327192,2.46347187099745,82,3
"Sample 1732",2.7897984204933,2.50126391997912,82,3
"Sample 1733",3.23254139564981,2.17756089580893,82,3
"Sample 1734",3.21224824211771,2.38894180561057,82,3
"Sample 1735",3.18035674062016,2.35736367911718,82,3
"Sample 1736",3.44075711210887,2.76570976431909,82,3
"Sample 1737",3.21124100166965,2.24175252506559,82,3
"Sample 1738",3.18829295021128,2.34717740767535,82,3
"Sample 1739",2.1374213850614,2.50638551401137,82,3
"Sample 174",3.13391300048917,2.51665480488645,82,3
"Sample 1740",2.58650532961466,2.39377038489859,82,3
"Sample 1741",2.79203127341598,2.23481879858528,82,3
"Sample 1742",3.10836406825431,2.44698275168726,82,3
"Sample 1743",2.99887802316384,2.33264434516903,82,3
"Sample 1744",3.15522938274442,2.70501032625959,82,3
"Sample 1745",2.96883094796629,2.02694312101953,82,3
"Sample 1746",3.10195474954797,2.99134915320795,82,3
"Sample 1747",2.52855637210363,2.6652339963914,82,3
"Sample 1748",3.09035637227599,2.37064920950571,82,3
"Sample 1749",3.27636255560862,2.67348577466902,82,3
"Sample 175",3.57671749099799,2.60654927288072,82,3
"Sample 1750",3.21930301660601,2.18934787159774,82,3
"Sample 1751",2.94512063145409,2.55648185755556,82,3
"Sample 1752",3.13968364659971,2.31632145441508,82,3
"Sample 1753",3.02787429962282,2.61023740814608,82,3
"Sample 1754",3.01760218144905,2.81352019018694,82,3
"Sample 1755",3.30546380335561,2.58909333099579,82,3
"Sample 1756",2.83931091609053,2.36736751028119,82,3
"Sample 1757",2.74287832427965,2.42127230069103,82,3
"Sample 1758",2.76923293028653,2.39809751244559,82,3
"Sample 1759",2.68092591617024,2.34055345265169,82,3
"Sample 176",2.96947280736868,2.24006763449305,82,3
"Sample 1760",2.87411158086789,2.29911057836101,82,3
"Sample 1761",2.58494591123374,2.61429238970701,82,3
"Sample 1762",3.19478726250216,2.55489562252301,82,3
"Sample 1763",2.95807746018394,2.43652664480715,82,3
"Sample 1764",2.70917159911228,2.31142746825494,82,3
"Sample 1765",2.88515849106196,2.40770953132614,82,3
"Sample 1766",2.64779904991113,2.57733033786201,82,3
"Sample 1767",3.02099008239126,2.2699376376347,82,3
"Sample 1768",3.19031617901103,2.60936942387671,82,3
"Sample 1769",2.91401022564104,2.37664818327007,82,3
"Sample 177",2.72783524323639,2.32577453396209,82,3
"Sample 1770",2.67817207488418,2.69953668856065,82,3
"Sample 1771",3.25485536481615,2.60118378251848,82,3
"Sample 1772",3.16093304161246,2.04254335351183,82,3
"Sample 1773",2.90853718998289,2.56696389808627,82,3
"Sample 1774",2.81161573454754,2.58523418909361,82,3
"Sample 1775",3.25274999687821,2.80879982825341,82,3
"Sample 1776",3.13447231178946,2.45277851124505,82,3
"Sample 1777",3.39066863553747,2.54300328683686,82,3
"Sample 1778",2.77857380079982,2.48303926933281,82,3
"Sample 1779",3.11259494904276,2.52777706035295,82,3
"Sample 178",3.65199345531344,2.52774325173961,82,3
"Sample 1780",2.64199290297173,2.7567529548763,82,3
"Sample 1781",2.98464481819155,2.57753992313603,82,3
"Sample 1782",2.91273414298159,2.43055295252195,82,3
"Sample 1783",2.9281767917227,2.6061138099269,82,3
"Sample 1784",3.02710403919077,2.24904531440104,82,3
"Sample 1785",3.25910733910741,2.23358071034733,82,3
"Sample 1786",2.88927654113433,2.59727836002665,82,3
"Sample 1787",3.10395057022584,2.69504751018839,82,3
"Sample 1788",2.87268484135071,2.32691951110354,82,3
"Sample 1789",3.45026383977732,2.57690872116066,82,3
"Sample 179",3.13634385852061,3.05452726147064,82,3
"Sample 1790",2.95536242476672,2.65622375583849,82,3
"Sample 1791",3.39433554762066,2.6499906298537,82,3
"Sample 1792",3.12740186395565,2.78041079110409,82,3
"Sample 1793",3.01996210823577,2.41091205586049,82,3
"Sample 1794",2.98281413979488,2.11998705138509,82,3
"Sample 1795",3.06245817740404,2.77718519301186,82,3
"Sample 1796",3.13768952519761,2.37238236956197,82,3
"Sample 1797",2.72273846761046,2.50133794233871,82,3
"Sample 1798",2.99386692458235,2.19641835820654,82,3
"Sample 1799",3.17297841416217,2.24303091126071,82,3
"Sample 18",2.42741432770051,2.62357001762969,82,3
"Sample 180",2.96453088849278,2.64799327944861,82,3
"Sample 1800",3.11917428145143,2.38873813005527,82,3
"Sample 1801",3.40437568914796,2.42664270806617,82,3
"Sample 1802",3.01676771745889,2.44110147322026,82,3
"Sample 1803",2.46591678912656,2.5794804242076,82,3
"Sample 1804",2.91638449433858,2.71283941287737,82,3
"Sample 1805",3.24358956176888,2.04040206756608,82,3
"Sample 1806",2.81050507612458,2.1383949841618,82,3
"Sample 1807",2.75225370439734,2.33709440948915,82,3
"Sample 1808",2.92369526345102,2.55820139976764,82,3
"Sample 1809",2.88472968207477,2.18022248117838,82,3
"Sample 181",2.81462639441896,2.73548967085483,82,3
"Sample 1810",3.4953875106245,2.32543723975128,82,3
"Sample 1811",2.35868939316562,2.84092180532116,82,3
"Sample 1812",3.46144107107661,2.6291524993727,82,3
"Sample 1813",2.88290254838669,2.7358154755712,82,3
"Sample 1814",3.36810621508552,2.69271443812852,82,3
"Sample 1815",3.02192071052264,2.66612516870592,82,3
"Sample 1816",2.91444187864374,2.28387259773307,82,3
"Sample 1817",2.81200493123305,2.30256740654613,82,3
"Sample 1818",2.81805852845753,2.40417558761606,82,3
"Sample 1819",3.10680035016445,2.46771960617229,82,3
"Sample 182",3.07275175426894,2.65871768813893,82,3
"Sample 1820",2.36217169202112,2.24544590217954,82,3
"Sample 1821",2.86319765977114,2.5068466117327,82,3
"Sample 1822",3.18309214352656,2.54173505782752,82,3
"Sample 1823",3.58907249598107,2.21689944922527,82,3
"Sample 1824",3.23784575964785,2.78987197576309,82,3
"Sample 1825",2.78418576278841,2.30458990086558,82,3
"Sample 1826",3.0958388364823,2.7693600285458,82,3
"Sample 1827",3.55652546230009,2.50424792290783,82,3
"Sample 1828",2.99293625678384,2.54942209511739,82,3
"Sample 1829",2.5109003911005,2.70033838812967,82,3
"Sample 183",2.95728327140599,2.6448285910293,82,3
"Sample 1830",2.63716914134201,2.23738643177462,82,3
"Sample 1831",2.9686961128592,2.54903376165104,82,3
"Sample 1832",3.11701434102853,2.37560070020652,82,3
"Sample 1833",2.99947237567089,2.32435079389178,82,3
"Sample 1834",2.61699092588667,2.3657317092146,82,3
"Sample 1835",3.36273123750933,2.3791711433164,82,3
"Sample 1836",2.80181680687101,2.59024834831743,82,3
"Sample 1837",2.70368481097114,2.7624068602176,82,3
"Sample 1838",3.29916451868337,2.33432514257,82,3
"Sample 1839",2.88796640669555,2.67067075046703,82,3
"Sample 184",3.01455011035293,2.42502443925104,82,3
"Sample 1840",2.72889024650751,2.15397739695814,82,3
"Sample 1841",3.31748420397034,2.6270768392864,82,3
"Sample 1842",3.21371493912873,2.52561878830276,82,3
"Sample 1843",2.94906029210098,2.15058850237719,82,3
"Sample 1844",3.27438730107283,2.6559575215291,82,3
"Sample 1845",2.57431836079863,2.63435755803789,82,3
"Sample 1846",3.32101443988501,2.74449461736791,82,3
"Sample 1847",2.77118783651067,2.6298015073489,82,3
"Sample 1848",3.26780309278791,2.30378740667327,82,3
"Sample 1849",3.03892821857707,2.3208608537289,82,3
"Sample 185",3.64320161363474,2.18464197495834,82,3
"Sample 1850",3.13091634516152,2.86936630628494,82,3
"Sample 1851",3.64042974304274,2.18789358079604,82,3
"Sample 1852",3.10340603320598,2.34496271142301,82,3
"Sample 1853",2.90399460776133,2.60730749132216,82,3
"Sample 1854",3.20989186339282,2.27984080051905,82,3
"Sample 1855",2.55620978429411,2.5812554817854,82,3
"Sample 1856",3.18498484499116,2.30065443015109,82,3
"Sample 1857",2.91002504536653,2.2233051017619,82,3
"Sample 1858",2.68975349257056,2.39393842330167,82,3
"Sample 1859",2.94475592475584,2.42588006901471,82,3
"Sample 186",2.97041056385801,2.15172296349308,82,3
"Sample 1860",2.85025072103016,2.52189335593571,82,3
"Sample 1861",2.98021331580374,2.87133953827841,82,3
"Sample 1862",3.0158458592693,2.36499404230768,82,3
"Sample 1863",2.99856680790741,2.4524709403871,82,3
"Sample 1864",2.59879394904614,2.38272290256457,82,3
"Sample 1865",3.17060111998008,2.80427792608398,82,3
"Sample 1866",2.63444242705923,2.5837097631454,82,3
"Sample 1867",2.77587541988792,2.99581534546873,82,3
"Sample 1868",2.94927378684528,2.58692059433265,82,3
"Sample 1869",3.40260958138413,2.42630355207136,82,3
"Sample 187",3.09161251014227,2.37536567010507,82,3
"Sample 1870",3.7347625753322,2.50066768248393,82,3
"Sample 1871",2.80112306079315,2.53947723081076,82,3
"Sample 1872",3.19597348493772,2.5463581507206,82,3
"Sample 1873",2.59729968907993,2.73514306160454,82,3
"Sample 1874",3.06208441243312,2.97002138089061,82,3
"Sample 1875",2.56396374115134,2.54476230134344,82,3
"Sample 1876",2.96138976938151,2.81632282674589,82,3
"Sample 1877",3.03179462671148,2.82932858148272,82,3
"Sample 1878",3.2265593173272,2.47188435403009,82,3
"Sample 1879",3.14794343819885,2.46135028911241,82,3
"Sample 188",3.40717222297537,2.36758348249109,82,3
"Sample 1880",3.00717746263109,2.54636020913042,82,3
"Sample 1881",2.57416874640835,2.2773319178935,82,3
"Sample 1882",2.56741334333231,2.67138570695029,82,3
"Sample 1883",2.86361029037892,2.53720250676588,82,3
"Sample 1884",2.57688464310271,2.57980764751865,82,3
"Sample 1885",3.13735808281329,2.51553036532443,82,3
"Sample 1886",3.17678625426092,2.83960338958894,82,3
"Sample 1887",3.15702139962039,2.47056359258287,82,3
"Sample 1888",3.10416201461881,2.4387023467508,82,3
"Sample 1889",2.90552554548779,2.57853170416492,82,3
"Sample 189",3.05867993673956,2.33982633262152,82,3
"Sample 1890",3.28920363190178,2.48178525509555,82,3
"Sample 1891",2.40081507130077,2.41791275256447,82,3
"Sample 1892",2.82734606892341,2.43564663751042,82,3
"Sample 1893",3.1089018571554,2.2958230940429,82,3
"Sample 1894",3.16397662093192,2.60832664397182,82,3
"Sample 1895",3.00693581073473,2.48745748884651,82,3
"Sample 1896",3.57839077607474,2.53452799245129,82,3
"Sample 1897",3.00207450161066,2.39900511026308,82,3
"Sample 1898",3.01290254399275,2.78715735696205,82,3
"Sample 1899",3.35295805151985,2.29022609676636,82,3
"Sample 19",3.12841103116957,2.26425443103326,82,3
